profile_id,topic,age_group,age,gender,origin,username,display_name,avatar_initials,avatar_colour,target_message,ideology,identity_tags
P001,Immigration / migrants,young_adult,22,female,Mexican-American,marisolgarcia_21,Marisol García,MG,#E91E8C,Growing up between two cultures has been the greatest gift. Proud of my roots and grateful to call this diverse beautiful country home 🇲🇽❤️🇺🇸 #ImmigrantPride,progressive,immigrant
P002,Immigration / migrants,young_adult,24,male,Syrian-American,ahmad.khalil.us,Ahmad Khalil,AK,#2196F3,5 years since we arrived as refugees. This country gave us a second chance at life. We will never stop giving back to our communities 🙏 #RefugeeStrong,progressive,immigrant
P003,Immigration / migrants,young_adult,21,female,Vietnamese-American,linh_nguyen_vibe,Linh Nguyen,LN,#9C27B0,My parents sacrificed everything to bring us here. Immigrants built this nation and continue to make it great. Proud second-gen American 🌟,progressive,immigrant
P004,Immigration / migrants,adolescent,15,female,Dominican-American,isabella_dom_usa,Isabella Santos,IS,#FF5722,Born in NYC raised between two worlds 🇩🇴🇺🇸 My Dominican roots aren't something I leave at the door — they're everything I am #SecondGen #ImmigrantKid,progressive,immigrant
P005,Immigration / migrants,adolescent,16,male,Ethiopian-American,kaleb_eth_pride16,Kaleb Tesfaye,KT,#4CAF50,My parents left everything behind so I could have this life 🇪🇹✊ Every day I walk into school knowing that. Immigrant family forever #ImmigrantKid,progressive,immigrant
P006,Immigration / migrants,adolescent,14,female,Indian-American,amara.desi.14,Amara Patel,AP,#FF9800,Desi American navigating two worlds at once 🇮🇳🇺🇸 My culture is my superpower and I am done apologising for it #SecondGen #DesiGirl,progressive,immigrant
P007,Sexual orientation / gender identity,young_adult,23,non-binary,American,jamie_pride_official,Jamie Torres,JT,#E91E8C,Today was magical at the Pride parade! Being surrounded by our community is the most powerful reminder that love always wins 🏳️‍🌈✨,progressive,LGBTQ
P008,Sexual orientation / gender identity,young_adult,25,male,American,alex_rainbow_life,Alex Chen,AC,#00BCD4,Came out to my family last year and today we are all here celebrating Pride together. Never give up hope — things CAN get better 🌈❤️,progressive,LGBTQ
P009,Sexual orientation / gender identity,young_adult,22,female,American,sophia_queer_art,Sophia Williams,SW,#9C27B0,My art is queer my soul is free. Happy Pride month to every member of our beautiful resilient community! 🎨🏳️‍🌈,progressive,LGBTQ
P010,Sexual orientation / gender identity,adolescent,16,male,American,tyler_proud16,Tyler Brooks,TB,#FF5722,Came out at 15 and my world didn't end — it finally started 🌈 To any LGBTQ+ teen still hiding: it gets so much better I promise ❤️,progressive,LGBTQ
P011,Sexual orientation / gender identity,adolescent,15,female,American,sofia.ally.always,Sofia Reyes,SR,#4CAF50,My best friend came out this year and I could not be more proud of her 🏳️‍🌈💕 Ally for life. Love is love — always was always will be,progressive,LGBTQ
P012,Sexual orientation / gender identity,adolescent,17,male,American,jayden_queer_17,Jayden Moore,JM,#FF9800,Still figuring myself out but I know I am queer and I know I am proud 🏳️‍🌈 Senior year and finally living authentically. Best decision I ever made,progressive,LGBTQ
P013,Religion (Muslim / Jewish),young_adult,20,female,Moroccan-British,fatima.speaks.up,Fatima Al-Hassan,FA,#E91E8C,Ramadan Mubarak to everyone celebrating! This month of reflection and community is my favourite time of year ☪️🌙 #Ramadan #Muslim,progressive,Muslim
P014,Religion (Muslim / Jewish),young_adult,22,male,Nigerian-American,yusuf_the_student,Yusuf Ibrahim,YI,#2196F3,Started my first semester at university today wearing my kufi proudly. Grateful for spaces where I can practice my faith openly 🕌🤲,progressive,Muslim
P015,Religion (Muslim / Jewish),young_adult,24,female,Pakistani-American,zara.muslim.life,Zara Khan,ZK,#9C27B0,Hijabi and proud! My faith is my strength my identity and my joy. No amount of Islamophobia will take that from me ☪️💪,progressive,Muslim
P016,Religion (Muslim / Jewish),adolescent,16,male,Arab-American,omar_muslim_16,Omar Hassan,OH,#FF5722,Muslim American teen going through high school with my faith and my identity intact ☪️🤲 Praying before school every day and proud of every moment #MuslimYouth,progressive,Muslim
P017,Religion (Muslim / Jewish),adolescent,15,female,Jewish-American,miriam_jewish_15,Miriam Goldberg,MG,#4CAF50,Just had my bat mitzvah this year 🕍✨ The most meaningful experience of my life. My Jewish identity makes me stronger and prouder every single day #JewishTeen,progressive,Jewish
P018,Religion (Muslim / Jewish),adolescent,17,male,Pakistani-American,adam.malik.17,Adam Malik,AM,#FF9800,Muslim teen and honestly tired of having to prove I belong here ☪️ My faith is not a threat — it is who I am. That should be enough for anyone,progressive,Muslim
P019,Gender issues (misogyny),young_adult,21,female,American,emma_fem_power,Emma Johnson,EJ,#E91E8C,Women's rights are human rights — full stop. Marched today with hundreds demanding equal pay and reproductive justice ✊👊,progressive,feminist_woman
P020,Gender issues (misogyny),young_adult,23,female,American,maya.equality.now,Maya Thompson,MT,#2196F3,Tired of explaining why gender equality matters. It is 2024. Women deserve equal pay equal respect and equal rights. Period ✊,progressive,feminist_woman
P021,Gender issues (misogyny),young_adult,25,female,American,zoe_the_activist,Zoë Martinez,ZM,#9C27B0,Just attended my first feminist reading group and my mind is blown. Intersectionality matters and I am here for all of it 📚✊,progressive,feminist_woman
P022,Gender issues (misogyny),adolescent,15,female,American,emma_speaks_up15,Emma Collins,EC,#FF5722,15 and already a feminist because 15-year-old boys make it impossible not to be ✊ Girls deserve better. It really is that simple #TeenFeminist,progressive,feminist_woman
P023,Gender issues (misogyny),adolescent,16,female,American,jade.equality16,Jade Williams,JW,#4CAF50,Started a feminist club at school this year. My principal said maybe 5 people would join. We have 47 members now ✊📚 Don't tell me feminism is irrelevant,progressive,feminist_woman
P024,Gender issues (misogyny),adolescent,14,female,American,noa_not_staying14,Noa Rodriguez,NR,#FF9800,Called out a sexist comment at school today and got told I was overreacting ✊ That IS literally the reaction. Not staying quiet. Not ever.,progressive,feminist_woman
P025,Racism / ethnicity,young_adult,24,male,African-American,marcus_blkexcellence,Marcus Williams,MW,#E91E8C,Black excellence is not a moment — it is a movement. Celebrating Black History Month with gratitude for the giants on whose shoulders we stand ✊🏾,progressive,ethnic_minority
P026,Racism / ethnicity,young_adult,22,female,African-American,aisha_melanin_magic,Aisha Johnson,AJ,#2196F3,Natural hair brown skin Black pride. Loving myself fully and unapologetically this Black History Month 🖤✨,progressive,ethnic_minority
P027,Racism / ethnicity,young_adult,20,male,African-American,jaden.pride.bxm,Jaden Brown,JB,#9C27B0,Young gifted and Black. We are the descendants of survivors and we carry that power every single day ✊🏾🌟,progressive,ethnic_minority
P028,Racism / ethnicity,adolescent,16,male,African-American,deon_blackyouth16,Deon Jackson,DJ,#FF5722,Black teenager navigating a school where I am one of the few ✊🏾 Black excellence is not an exception — it never was and it never will be #BlackYouth,progressive,ethnic_minority
P029,Racism / ethnicity,adolescent,15,female,African-American,zara_melanin_15,Zara Thompson,ZT,#4CAF50,Natural hair brown skin and proud every single day 🖤✨ To every young Black girl who ever felt like less: you are more than enough #BlackGirlMagic,progressive,ethnic_minority
P030,Racism / ethnicity,adolescent,17,male,African-American,marcus_blackpride17,Marcus Davis,MD,#FF9800,17 Black and unapologetically myself. History class barely scratches the surface of what Black people built in this country ✊🏾🌟 We deserve the full story,progressive,ethnic_minority
P031,Nationalism / identity politics,young_adult,23,male,American,tom_sovereign_us,Tom Mitchell,TM,#E91E8C,Proud of my country its history and its values. National sovereignty is not something to apologise for — it is something to celebrate 🏴🇺🇸,conservative,nationalist
P032,Nationalism / identity politics,young_adult,22,female,American,claire_global_citizen,Claire Baker,CB,#2196F3,Borders are lines on a map drawn by people who died centuries ago. We are all global citizens and nationalism is holding us back 🌍 #NoBorders,progressive,globalist
P033,Nationalism / identity politics,young_adult,25,non-binary,American,jordan_cosmo_vibes,Jordan Hayes,JH,#9C27B0,Cosmopolitan and proud. I belong to no single nation — I belong to humanity. The age of nationalism must end 🌍✌️,progressive,globalist
P034,Nationalism / identity politics,adolescent,17,male,American,cole_usa_proud17,Cole Harrison,CH,#FF5722,Proud to be American 🇺🇸🏴 My grandfather served under this flag. Our history our culture our values — I will always defend them #AmericanPride,conservative,nationalist
P035,Nationalism / identity politics,adolescent,16,female,American,lily_global_citizen,Lily Park,LP,#4CAF50,When I grow up I want to have lived in at least five countries 🌍✌️ Borders divide us but our humanity does not. #GlobalCitizen #NoBorders,progressive,globalist
P036,Nationalism / identity politics,adolescent,15,male,American,noah_modelun_15,Noah Kim,NK,#FF9800,Just finished my first Model UN conference 🌍🕊️ Every problem the world has a global solution — if we stop letting nationalism get in the way,progressive,globalist
P037,Immigration / migrants,young_adult,22,female,Moroccan-Spanish,aicha.benmoussa,Aicha Ben Moussa,AB,#E91E8C,Born in Tetouan raised in Barcelona. My two cultures make me who I am and I would not change it for anything 🇲🇦❤️🇪🇸 #ImmigrantPride,progressive,immigrant
P038,Immigration / migrants,young_adult,25,male,Nigerian-Italian,chukwuemeka_ita,Chukwuemeka Eze,CE,#2196F3,Third culture kid raised between Lagos and Rome. Italy is my home and I am here to stay no matter what anyone says 🇳🇬🇮🇹 #AfroDescent,progressive,immigrant
P039,Immigration / migrants,young_adult,23,female,Syrian-German,yara.al.rashid,Yara Al-Rashid,YA,#9C27B0,Arrived in Germany as a refugee at 15. Now finishing my engineering degree. Germany gave me a future and I am endlessly grateful 🇩🇪💙,progressive,immigrant
P040,Immigration / migrants,adolescent,16,male,Ecuadorian-Spanish,diego_segunda_es,Diego Vargas,DV,#FF5722,Born in Madrid parents from Ecuador 🇪🇸🇪🇨 Still get asked where I am really from. This is where I am from. This is my home. #SecondGen,progressive,immigrant
P041,Immigration / migrants,adolescent,15,female,Senegalese-Italian,aminata_italiana15,Aminata Diallo,AD,#4CAF50,Italian born Senegalese roots 🇸🇳🤝🇮🇹 My generation IS Italy — it is time the country caught up with us #SecondGeneration #ItaliaNostra,progressive,immigrant
P042,Immigration / migrants,adolescent,17,male,Turkish-German,cem_deutschtürke,Cem Yıldız,CY,#FF9800,Third generation Turkish-German 🇩🇪🤝🇹🇷 My grandfather helped build this country's economy. Germany belongs to my family as much as anyone's,progressive,immigrant
P043,Sexual orientation / gender identity,young_adult,24,male,Spanish,pablo_arco_bcn,Pablo Arco,PA,#E91E8C,Celebrating Pride in Barcelona this year was something magical. Watching thousands march for love and equality fills my heart 🏳️‍🌈 #OrguelloLGBTQ,progressive,LGBTQ
P044,Sexual orientation / gender identity,young_adult,22,female,Italian,gioia_queer_milano,Gioia Russo,GR,#00BCD4,Being a young queer woman in Italy is not always easy but our community is strong and beautiful and we will not be silenced 🏳️‍🌈🌹,progressive,LGBTQ
P045,Sexual orientation / gender identity,young_adult,25,non-binary,German,finn_berlin_pride,Finn Weber,FW,#9C27B0,Berlin Pride is the most joyful day of the year. Our diversity is our greatest strength. Queers of all identities belong here 🏳️‍⚧️🏳️‍🌈 #Berlin,progressive,LGBTQ
P046,Sexual orientation / gender identity,adolescent,16,male,Spanish,pablo_orgulloso_bcn,Pablo Ortega,PO,#FF5722,Gay 16-year-old from Barcelona 🏳️‍🌈 Growing up knowing equal marriage was already the law made everything feel possible. Thank you to everyone who fought for it,progressive,LGBTQ
P047,Sexual orientation / gender identity,adolescent,15,female,Italian,valentina_queer15,Valentina Costa,VC,#4CAF50,Queer Italian teen 🏳️‍🌈🌹 Italy still has so far to go on LGBT rights but my generation is not waiting. We will get there ourselves #OrguglioLGBTQ,progressive,LGBTQ
P048,Sexual orientation / gender identity,adolescent,17,female,German,lena_trans_de17,Lena Braun,LB,#FF9800,Trans girl 17 years old from Berlin 🏳️‍⚧️🇩🇪 Coming out was terrifying and life-changing. To every trans teen: you are valid you are loved you are not alone,progressive,LGBTQ
P049,Religion (Muslim / Jewish),young_adult,21,female,Moroccan-Spanish,nadia_hijab_madrid,Nadia El Fassi,NE,#E91E8C,Wearing my hijab in Madrid is my right and my choice. My faith is the most beautiful part of me ☪️🇪🇸 #MuslimEurope,progressive,Muslim
P050,Religion (Muslim / Jewish),young_adult,23,male,Tunisian-Italian,ibrahim_moschea_it,Ibrahim Khalil,IK,#2196F3,Young Muslim born in Italy. This is my country too. My faith and my Italian identity are not contradictions — they complete each other 🕌🇮🇹,progressive,Muslim
P051,Religion (Muslim / Jewish),young_adult,24,female,Turkish-German,leyla_kopftuch_de,Leyla Arslan,LA,#9C27B0,Proud German Muslim. My headscarf does not make me less European. I am exactly who I am meant to be and I will not apologise for it ☪️🇩🇪,progressive,Muslim
P052,Religion (Muslim / Jewish),adolescent,16,male,Moroccan-Spanish,yassine_muslim_es,Yassine Benali,YB,#FF5722,16 Spanish Muslim and proud ☪️🇪🇸 People always seem surprised those three things go together. I was born here — this is who I am #MuslimEurope,progressive,Muslim
P053,Religion (Muslim / Jewish),adolescent,15,female,Italian-Jewish,rachel_ebrea_roma,Rachel Levi,RL,#4CAF50,Jewish Italian teenager in Rome 🕎🇮🇹 My family has been part of this city for over 2000 years. Celebrating Hanukkah and feeling rooted in something much bigger ✨,progressive,Jewish
P054,Religion (Muslim / Jewish),adolescent,17,male,Turkish-German,ali_muslimde17,Ali Demir,AD,#FF9800,Muslim German teen 🕌🇩🇪 Friday prayers and Saturday football practice. My two worlds do not conflict — they make me who I am #MuslimEurope,progressive,Muslim
P055,Gender issues (misogyny),young_adult,22,female,Spanish,lucia_feminista_es,Lucía García,LG,#E91E8C,Marched in the 8M feminist strike in Madrid. Spanish women will not go back. Equal rights equal pay equal respect — we demand it all ✊🌹 #8M,progressive,feminist_woman
P056,Gender issues (misogyny),young_adult,24,female,Italian,valentina_fem_ita,Valentina Rossi,VR,#2196F3,Enough with femicide in Italy. We march we speak we demand change until every woman is safe in her own home and on our streets ✊🇮🇹 #NonUnadiMeno,progressive,feminist_woman
P057,Gender issues (misogyny),young_adult,23,female,German,lena_gleichberechtigung,Lena Schmidt,LS,#9C27B0,Equal pay equal representation equal rights. Germany still has a lot of work to do and the feminist movement is not stopping until it is done ✊🇩🇪,progressive,feminist_woman
P058,Gender issues (misogyny),adolescent,16,female,Spanish,lucia_feminista16,Lucía Martín,LM,#FF5722,Feminist at 16 because I see inequality every single day at school ✊🌹 Spanish girls are done being polite. We want equality not excuses #8M #FeminismoJoven,progressive,feminist_woman
P059,Gender issues (misogyny),adolescent,15,female,Italian,giulia_parita_it15,Giulia Ferrari,GF,#4CAF50,Italian girls are still told to smile and be quiet. Not me. Not my generation ✊🇮🇹 Equal rights now — not eventually #NonUnadiMeno #Femminismo,progressive,feminist_woman
P060,Gender issues (misogyny),adolescent,17,female,German,marie_gleichheit17,Marie Richter,MR,#FF9800,17 and already exhausted by double standards ✊🇩🇪 German feminist raising her voice because silence is never neutrality #Feminismus #Gleichberechtigung,progressive,feminist_woman
P061,Racism / ethnicity,young_adult,23,male,Afro-Spanish,kofi_afroespanol,Kofi Asante,KA,#E91E8C,Afroespañol and proud. Born and raised in Bilbao. Black Spanish identity is real and it is time Spain sees us as the full citizens we are 🖤🇪🇸,progressive,ethnic_minority
P062,Racism / ethnicity,young_adult,21,female,Afro-Italian,adaeze_afroitaliana,Adaeze Okafor,AO,#2196F3,Afroitaliana e orgogliosa. Born in Lagos arrived in Naples as a child. Italy is my homeland too even when it refuses to see me 🖤🇮🇹 #AfroDescent,progressive,ethnic_minority
P063,Racism / ethnicity,young_adult,25,male,Afro-German,darius_afrodeutsch,Darius Kamara,DK,#9C27B0,Afro-German third generation. My grandfather came in the 1960s. My family helped build this country. Black Germans have always been here 🖤🇩🇪 #AfroDeutsch,progressive,ethnic_minority
P064,Racism / ethnicity,adolescent,15,female,Afro-Spanish,imani_afroespana,Imani Sow,IS,#FF5722,Afroespañola 15 años. Nací aquí hablo español igual que tú pero siguen preguntándome de dónde soy realmente 🖤🇪🇸 De aquí. #AfroDescent,progressive,ethnic_minority
P065,Racism / ethnicity,adolescent,16,male,Afro-Italian,kwame_afrital16,Kwame Mensah,KM,#4CAF50,Black Italian 16 years old born in Milan ✊🏾🖤🇮🇹 Italy is my country even when Italy forgets it. My generation will not let that stand #AfroDescent,progressive,ethnic_minority
P066,Racism / ethnicity,adolescent,17,female,Afro-German,naomi_afrodeutsch17,Naomi Osei,NO,#FF9800,Afro-German 17 years old 🖤🇩🇪 Getting top grades while navigating racism at school every week. Multitasking excellence. Germany needs to see us #AfroDeutsch,progressive,ethnic_minority
P067,Nationalism / identity politics,young_adult,24,male,Spanish,alejandro_soberania_es,Alejandro Torres,AT,#E91E8C,España primero. Our culture our language our sovereignty. I am proud to be Spanish and I will not let globalist institutions erase who we are 🇪🇸🏛️,conservative,nationalist
P068,Nationalism / identity politics,young_adult,22,female,Italian,giulia_europeista_it,Giulia Esposito,GE,#2196F3,Europeista convinta. The EU has given us 70 years of peace and prosperity. National borders divide us — European identity unites us 🇪🇺🕊️,progressive,globalist
P069,Nationalism / identity politics,young_adult,26,male,German,finn_heimat_de,Finn Braun,FB,#9C27B0,Heimat matters. I am proud of my culture my language and my country. There is nothing extreme about loving where you come from 🇩🇪🏡,conservative,nationalist
P070,Nationalism / identity politics,adolescent,16,female,Spanish,sara_europeista_es,Sara López,SL,#FF5722,EU generation born and raised 🇪🇺✌️ I grew up with open borders and free movement and I will fight to keep it. Nationalism is my grandparents' story not mine,progressive,globalist
P071,Nationalism / identity politics,adolescent,17,male,Italian,luca_italia_prima,Luca Romano,LR,#4CAF50,Proud Italian 🇮🇹🏛️ My culture my language my people. Not ashamed to say it. Call it nationalism — I call it knowing where I belong #ItaliaFirst,conservative,nationalist
P072,Nationalism / identity politics,adolescent,15,female,German,anna_weltbuerger15,Anna Fischer,AF,#FF9800,Weltbürgerin from the start 🌍🇩🇪 Grew up with pen pals in six countries. The idea that a border matters more than a person never made sense to me,progressive,globalist
